±àºÅ,ÆµÂÊ,±êÇ©
1,49.498344074280006,0
2,49.501093724483994,1
3,49.501705471279,1
4,49.502308203976,1
5,49.501718740143005,1
6,49.501632588328,1
7,49.501757988872995,1
8,49.498782848294,0
9,49.498745057641,0
10,49.497813216817,0
11,49.500749288968,1
12,49.500063113886,1
13,49.498870402156,0
14,49.49931227756699,0
15,49.49968708001099,0
16,49.502067129569,1
17,49.499280288857,0
18,49.500582348667,1
19,49.500340710638,1
20,49.497625982882994,0
21,49.50167691592301,1
22,49.50006484845,1
23,49.501149988882,1
24,49.500752686798,1
25,49.49775505607799,0
26,49.500894537899,1
27,49.496829735226,0
28,49.498434524966,0
29,49.49932208589,0
30,49.499407678008005,0
31,49.499330037886,0
32,49.502965329484,1
33,49.502858620082996,1
34,49.498929202981,0
35,49.496325447292996,0
36,49.496983202399996,0
37,49.499901741582,0
38,49.499779794794996,0
39,49.495807828008004,0
40,49.499329324224995,0
41,49.501343511812,1
42,49.502980549153,1
43,49.498071034593,0
44,49.501115948844,1
45,49.500371064129,1
46,49.499634107771996,0
47,49.500498479864,1
48,49.500182076880996,1
49,49.499890190912,0
50,49.499133342997,0
51,49.502169647580004,1
52,49.500804452367,1
53,49.500452465141,1
54,49.500411758788005,1
55,49.49857667115501,0
56,49.501525956634,1
57,49.503249980124,1
58,49.499660284647,0
59,49.497723494883004,0
60,49.49810007884,0
61,49.500142417842,1
62,49.502342101718,1
63,49.501440225424005,1
64,49.501434379245005,1
65,49.50200093403,1
66,49.503112443554,1
67,49.499118695944006,0
68,49.496201974375,0
69,49.501496146892,1
70,49.49969293159099,0
71,49.499256349931,0
72,49.497296742916,0
73,49.498782781359,0
74,49.49900426501701,0
75,49.50094613710301,1
76,49.497423744177,0
77,49.499396021033,0
78,49.501301186382,1
79,49.500335597530004,1
80,49.501204035784,1
81,49.500027973072996,1
82,49.499196804266006,0
83,49.500664909335,1
84,49.500131964897,1
85,49.500489316500996,1
86,49.498775411293,0
87,49.50040943800901,1
88,49.500779940267,1
89,49.49904685241201,0
90,49.499657699453,0
91,49.499086543234995,0
92,49.499954545582,0
93,49.499130307624995,0
94,49.500265858648994,1
95,49.498441000868,0
96,49.500467413821,1
97,49.501216668217,1
98,49.499680584667,0
99,49.500516156181,1
100,49.501391807528,1
101,49.502521319093,1
102,49.500544361575,1
103,49.499173535923006,0
104,49.499362078832995,0
105,49.497129193042,0
106,49.503802093444,1
107,49.499525200132,0
108,49.497338842343,0
109,49.49805673385,0
110,49.50335588833801,1
111,49.501173909747,1
112,49.502632247164,1
113,49.499409605657995,0
114,49.501190578683996,1
115,49.503559763992,1
116,49.501270680245,1
117,49.498376168963006,0
118,49.501846280733005,1
119,49.500324201462,1
120,49.500307350172996,1
121,49.500607652973,1
122,49.50069680801,1
123,49.500585422347,1
124,49.499555506055,0
125,49.499196168082,0
126,49.501013586713,1
127,49.497754316106004,0
128,49.497972070761,0
129,49.498976473292,0
130,49.499596330635995,0
131,49.503773555826996,1
132,49.501992748362,1
133,49.501088394406004,1
134,49.497570409317,0
135,49.501342736058,1
136,49.500101825134,1
137,49.498060512361,0
138,49.498954963473,0
139,49.497406108999,0
140,49.500345677045004,1
141,49.49843902647,0
142,49.498019853836006,0
143,49.498828645754,0
144,49.499215492972,0
145,49.497558907770994,0
146,49.502272647648,1
147,49.500491998954,1
148,49.500144857147,1
149,49.499310156405,0
150,49.498722340829,0
151,49.500048537731,1
152,49.500589073080995,1
153,49.498106051068,0
154,49.497934941137,0
155,49.502507571706,1
156,49.500750183197,1
157,49.501750146837,1
158,49.501515504618,1
159,49.501643220860004,1
160,49.49986754975001,0
161,49.500322945583,1
162,49.502690062687996,1
163,49.498975895686996,0
164,49.500355488658,1
165,49.499616562658005,0
166,49.496595325731,0
167,49.501707443023996,1
168,49.502146187705,1
169,49.501541041847,1
170,49.499221512035,0
171,49.498073964242,0
172,49.500188956539,1
173,49.499405573591005,0
174,49.501912229435995,1
175,49.501528930121005,1
176,49.499658045112,0
177,49.498322327055995,0
178,49.50170561068,1
179,49.498752073522,0
180,49.498595805941,0
181,49.502015312809,1
182,49.500384310903996,1
183,49.502059427666,1
184,49.499574931366,0
185,49.500607503325995,1
186,49.502078472297,1
187,49.498992847227,0
188,49.499607932426,0
189,49.500153555349996,1
190,49.50085078996899,1
191,49.499790834414995,0
192,49.49748543820699,0
193,49.503335331308,1
194,49.500459309266994,1
195,49.499249848681,0
196,49.497991862072,0
197,49.500356517983,1
198,49.50076587422401,1
199,49.502390561574,1
200,49.501268322571,1
201,49.498133191118,0
202,49.499515496875,0
203,49.501741549783,1
204,49.502435559420995,1
205,49.500276060131995,1
206,49.502415140638,1
207,49.501232902078,1
208,49.498648193857,0
209,49.498484729318,0
210,49.500435050304006,1
211,49.50079546973699,1
212,49.500977009572,1
213,49.496175776886,0
214,49.50133454345801,1
